Corporation,Rating,Credit_Score,Default_Probability,Raw_Log_Odds,Score_Percentile
American States Water Co.,A-,1000,0.0,-7.590478879532705,50.0064061499039
Automatic Data Processing Inc.,AAA,1000,0.0,-14.481157688625837,50.0064061499039
Avnet Inc.,BBB-,1000,0.0,-5.367812502714546,50.0064061499039
California Water Service Co.,AA-,1000,0.0,-10.91094699329886,50.0064061499039
Cardinal Health Inc.,A,1000,0.0,-9.72064433847755,50.0064061499039
Cardinal Health Inc.,BBB+,1000,0.0,-7.559975284621002,50.0064061499039
Carpenter Technology Corp.,BBB,1000,0.0,-5.84006602838088,50.0064061499039
Companhia de Saneamento Basico do Estado de Sao Paulo,BB,1000,0.0,-2.6257224710807776,50.0064061499039
Compass Group PLC,BBB+,1000,0.0,-6.898222422350203,50.0064061499039
Diageo PLC,A-,1000,0.0,-8.323426184227005,50.0064061499039
Entergy Corp,BBB-,1000,0.0,-4.450761052120205,50.0064061499039
Entergy Corp,A-,1000,0.0,-7.691764632905029,50.0064061499039
FMC Technologies Inc.,A,1000,0.0,-9.460552508594917,50.0064061499039
FedEx Corp.,BBB,1000,0.0,-6.006419197859881,50.0064061499039
Flowserve Corp.,BB,1000,0.0,-2.9392009345188956,50.0064061499039
Fluor Corp.,A,1000,0.0,-10.120677110256507,50.0064061499039
Fresh Del Monte Produce Inc.,B,1000,0.0,0.06893970686264872,50.0064061499039
General Mills Inc.,BBB+,1000,0.0,-7.267043962226085,50.0064061499039
Jabil Inc.,BB+,1000,0.0,-4.21065101065671,50.0064061499039
Kennametal Inc.,BBB,1000,0.0,-5.888448620829449,50.0064061499039
Kohl's Corp.,BBB+,1000,0.0,-7.364416031551022,50.0064061499039
Koppers Holdings Inc.,B+,1000,0.0,-1.2318587032553925,50.0064061499039
Korea Electric Power Corp.,A,1000,0.0,-9.052124629771354,50.0064061499039
Madison Gas & Electric Co.,AAA,1000,0.0,-14.363325219654259,50.0064061499039
Micron Technology Inc.,B+,1000,0.0,-0.5728418771580728,50.0064061499039
Microsoft Corp.,AAA,1000,0.0,-14.975581639659632,50.0064061499039
National Grid Gas PLC,A-,1000,0.0,-8.201656644460426,50.0064061499039
National Grid USA,A,1000,0.0,-9.281991171388698,50.0064061499039
Newmont USA Ltd.,BBB-,1000,0.0,-5.148626194784651,50.0064061499039
Northwest Natural Gas Co.,A-,1000,0.0,-7.829662690929053,50.0064061499039
PNM Resources Inc,BB-,1000,0.0,-1.1179655950769227,50.0064061499039
Rent-A-Center Inc.,BB-,1000,0.0,-2.0329844927332257,50.0064061499039
Shaw Communications Inc.,BBB-,1000,0.0,-4.52320445114489,50.0064061499039
Southern Copper Corp.,BBB-,1000,0.0,-5.349718699757293,50.0064061499039
Southern Power Company,BBB+,1000,0.0,-7.5103877536138395,50.0064061499039
Teck Resources Ltd.,BBB,1000,0.0,-5.966029502006007,50.0064061499039
TransAlta Corp.,BB+,1000,0.0,-3.2943970789045007,50.0064061499039
TransAlta Corporation,BBB,1000,0.0,-5.455066132761049,50.0064061499039
Tutor Perini Corporation,BB-,1000,0.0,-2.2107915991782967,50.0064061499039
Universal Health Services Inc.,BB+,1000,0.0,-3.736990837233618,50.0064061499039
Vector Ltd.,BBB+,1000,0.0,-6.571353830261945,50.0064061499039
ALLETE Inc.,A,1000,0.0,-8.756093249128407,50.0064061499039
Abbott Laboratories,AAA,1000,0.0,-14.47478558933314,50.0064061499039
Abbott Laboratories,AAA,1000,0.0,-14.47478558933314,50.0064061499039
Air Products and Chemicals Inc.,A,1000,0.0,-9.229899983112874,50.0064061499039
Alaska Air Group Inc.,B,1000,0.16666666666666666,1.0837787301033366,50.0064061499039
Alliant Energy Corp.,BBB,1000,0.0,-5.4844819426292,50.0064061499039
American Axle & Manufacturing Holdings Inc.,B-,1000,0.9427076144467449,2.141956284009625,50.0064061499039
American Axle & Manufacturing Holdings Inc.,B-,1000,0.9427076144467449,2.141956284009625,50.0064061499039
American Axle & Manufacturing Holdings Inc.,B,1000,0.2769039300706261,1.061621757081351,50.0064061499039
American States Water Co.,A+,1000,0.0,-9.682587879770272,50.0064061499039
AmerisourceBergen Corp.,A-,1000,0.0,-8.462442396051275,50.0064061499039
AmerisourceBergen Corp.,A,1000,0.0,-9.561332988285981,50.0064061499039
Amgen Inc.,A+,1000,0.0,-10.094154674297483,50.0064061499039
Amgen Inc.,A-,1000,0.0,-7.933485620440935,50.0064061499039
Amgen Inc.,A+,1000,0.0,-10.094154674297483,50.0064061499039
Amgen Inc.,A+,1000,0.0,-10.094154674297483,50.0064061499039
Amkor Technology Inc.,B+,1000,0.0,-0.577873828765215,50.0064061499039
Amkor Technology Inc.,BB,1000,0.0,-2.738542882621763,50.0064061499039
Amphenol Corp.,BBB,1000,0.0,-6.176804604585536,50.0064061499039
Analog Devices Inc.,A-,1000,0.0,-8.41943339372157,50.0064061499039
Arrow Electronics Inc.,BBB,1000,0.0,-6.34481940415151,50.0064061499039
AstraZeneca PLC,AA-,1000,0.0,-11.869042567052405,50.0064061499039
Atmos Energy Corp.,A,1000,0.0,-8.904005992437744,50.0064061499039
AutoZone Inc.,BBB-,1000,0.0,-4.665324151619323,50.0064061499039
Automatic Data Processing Inc.,AAA,1000,0.0,-14.39935882722663,50.0064061499039
Avery Dennison Corp.,A,1000,0.0,-9.024190845458667,50.0064061499039
Avnet Inc.,BBB-,1000,0.0,-5.513070685593222,50.0064061499039
BCE Inc.,BBB-,1000,0.0,-4.606979050692848,50.0064061499039
BCE Inc.,BBB-,1000,0.0,-4.606979050692848,50.0064061499039
Baker Hughes Inc.,A-,1000,0.0,-8.125301657224595,50.0064061499039
Ball Corporation,BB+,1000,0.0,-4.248081761498703,50.0064061499039
Barrick Gold Corp.,A-,1000,0.0,-7.202392225914741,50.0064061499039
Beazer Homes USA Inc.,CCC,1000,1.0,4.765537914424851,50.0064061499039
Belden Inc.,B+,1000,0.0,-0.27606410887017674,50.0064061499039
Bio-Rad Laboratories Inc.,BBB,1000,0.0,-5.650207094875871,50.0064061499039
Biogen Inc.,BBB+,1000,0.0,-6.951127289400693,50.0064061499039
BorgWarner Inc.,BBB,1000,0.0,-6.120588080126508,50.0064061499039
Braskem S.A.,BBB-,1000,0.0,-4.313334648813157,50.0064061499039
Bristol-Myers Squibb Co.,A+,1000,0.0,-10.40643461385884,50.0064061499039
Brookfield Asset Management Inc.,A,1000,0.0,-8.550693151320308,50.0064061499039
CSX Corp.,BBB,1000,0.0,-5.692297103267972,50.0064061499039
CVS Health Corporation,BBB+,1000,0.0,-7.191881840012078,50.0064061499039
CVS Health Corporation,BBB,1000,0.0,-6.111547313083799,50.0064061499039
California Water Service Co.,A-,1000,0.0,-7.548529720941568,50.0064061499039
California Water Service Co.,A-,1000,0.0,-7.548529720941568,50.0064061499039
Calumet Specialty Products Partners LP,B,1000,0.0,0.20016097195543914,50.0064061499039
Calumet Specialty Products Partners LP,B,1000,0.0,0.20016097195543914,50.0064061499039
Calumet Specialty Products Partners LP,B,1000,0.0,0.20016097195543914,50.0064061499039
Cameco Corp.,A,1000,0.0,-9.399013015989075,50.0064061499039
Canadian Natural Resources Ltd.,BBB,1000,0.0,-5.966038555940273,50.0064061499039
Canadian Natural Resources Ltd.,BBB,1000,0.0,-5.966038555940273,50.0064061499039
Canadian Natural Resources Ltd.,BBB+,1000,0.0,-7.046373082868547,50.0064061499039
Cardinal Health Inc.,A-,1000,0.0,-8.486543381353064,50.0064061499039
Carpenter Technology Corp.,BBB,1000,0.0,-5.84006602838088,50.0064061499039
Carpenter Technology Corp.,BBB,1000,0.0,-5.957616828449018,50.0064061499039
Caterpillar Inc.,AA,1000,0.0,-12.08291638302594,50.0064061499039
Cenovus Energy Inc.,BBB+,1000,0.0,-6.962529642092454,50.0064061499039
Central Garden & Pet Co.,B+,1000,0.0,-0.5786321412952837,50.0064061499039
Central Garden & Pet Co.,B,1000,0.05588235294117647,0.5017023856329903,50.0064061499039
Chevron Corporation,AA,1000,0.0,-12.832009248487195,50.0064061499039
Ciena Corp.,CCC+,1000,1.0,4.30808905270985,50.0064061499039
Comcast Corp.,BBB+,1000,0.0,-6.897201240874926,50.0064061499039
Commercial Vehicle Group Inc.,CCC,1000,1.0,3.656755093747173,50.0064061499039
Companhia de Saneamento Basico do Estado de Sao Paulo,BB+,1000,0.0,-3.808477852226808,50.0064061499039
Compass Group PLC,A-,1000,0.0,-7.950100210195599,50.0064061499039
Comstock Resources Inc.,B,1000,0.2388888888888889,1.0402268511917523,50.0064061499039
Comstock Resources Inc.,B,1000,0.2388888888888889,1.0402268511917523,50.0064061499039
ConocoPhillips,A,1000,0.0,-9.268820700387112,50.0064061499039
Constellation Brands Inc.,BB+,1000,0.0,-3.8968403544041497,50.0064061499039
Cummins Inc.,BBB+,1000,0.0,-7.5306128349160435,50.0064061499039
Cummins Inc.,A,1000,0.0,-9.691281888772592,50.0064061499039
Cumulus Media Inc.,CCC+,1000,1.0,3.247070749434082,50.0064061499039
Cumulus Media Inc.,CCC+,1000,1.0,3.247070749434082,50.0064061499039
Cumulus Media Inc.,CCC+,1000,1.0,3.247070749434082,50.0064061499039
Cumulus Media Inc.,CCC+,1000,1.0,3.247070749434082,50.0064061499039
D.R. Horton Inc.,BB-,1000,0.0,-1.4379947536185735,50.0064061499039
D.R. Horton Inc.,BB-,1000,0.0,-1.3648852052535538,50.0064061499039
DENTSPLY SIRONA Inc.,A,1000,0.0,-9.108701451912411,50.0064061499039
DENTSPLY SIRONA Inc.,A,1000,0.0,-9.108701451912411,50.0064061499039
DENTSPLY SIRONA Inc.,A,1000,0.0,-9.108701451912411,50.0064061499039
DTE Energy Center LLC,BBB+,1000,0.0,-6.49047448741068,50.0064061499039
DTE Energy Center LLC,BBB+,1000,0.0,-6.49047448741068,50.0064061499039
DTE Energy Co.,A,1000,0.0,-8.65114354126723,50.0064061499039
Dana Incorporated,B,1000,0.008771929824561403,0.40808847228175793,50.0064061499039
Dana Incorporated,B,1000,0.008771929824561403,0.40808847228175793,50.0064061499039
Danaher Corp.,A+,1000,0.0,-10.456154683791466,50.0064061499039
Devon Energy Corp.,BBB+,1000,0.0,-6.88739046239685,50.0064061499039
Devon Energy Corp.,BBB+,1000,0.0,-6.88739046239685,50.0064061499039
Diageo PLC,A,1000,0.0,-9.389981936366278,50.0064061499039
Douglas Dynamics LLC,BB,1000,0.0,-2.3449884722306074,50.0064061499039
Dover Corp.,A,1000,0.0,-8.980747645644703,50.0064061499039
Dover Corp.,AA,1000,0.0,-12.221751226429527,50.0064061499039
EOG Resources Inc.,BBB+,1000,0.0,-6.457478392364683,50.0064061499039
EOG Resources Inc.,BBB,1000,0.0,-5.377143865436407,50.0064061499039
EQT Corporation,BBB,1000,0.0,-5.634845181354022,50.0064061499039
EQT Corporation,BBB,1000,0.0,-5.634845181354022,50.0064061499039
EQT Corporation,BBB,1000,0.0,-5.634845181354022,50.0064061499039
