ticker,company,benchmark,last_price,ret_1m,ret_3m,ret_6m,ret_1y,vol_1y,beta_1y,mdd_1y,adv_value_3m,equity_vol_1y,rf_estimate,market_cap,total_debt,cash_and_equiv,net_debt,ebit,ebitda,interest_expense_abs,sales,gross_profit,net_income,total_assets,total_liab,equity,current_ratio,quick_ratio,cash_ratio,debt_to_equity,net_debt_to_ebitda,interest_coverage,gross_margin,ebit_margin,net_margin,roa,roe,fcf,cfo,capex,fcf_to_debt,cfo_to_interest,cfo_to_net_income,revenue_yoy,ebit_yoy,net_income_yoy,altman_z,piotroski_f,turnover_3m,dd_proxy,asset_value,asset_vol
AAPL,Apple Inc.,^GSPC,226.00999450683594,0.05657951878871992,0.11963234842797221,-0.07837449149503495,0.005187729533092877,0.3201660587475559,1.2802380825223953,-0.3336052208070358,11741746948.9431,0.3201660587475559,0.04115000247955322,3354078740480.0,106629000000.0,29943000000.0,76686000000.0,123216000000.0,134661000000.0,,391035000000.0,180683000000.0,93736000000.0,364980000000.0,308030000000.0,,,,,,0.5694744580836323,,0.4620634981523393,0.31510222870075566,0.23971255769943867,0.25682503150857583,,108807000000.0,118254000000.0,,1.0204259629181556,,1.2615643936161134,0.020219940775141214,0.07799581805933456,-0.033599670086086914,,5.0,0.0035007368214804483,11.191958365594903,3460707740480.0,0.31030131741766304
MSFT,Microsoft Corp.,^GSPC,505.7200012207031,-0.0002965068059622711,0.11744038057388995,0.2175243544427825,0.20674801449953129,0.2487955137684995,0.9728821826336514,-0.21825696503288805,9799662084.113615,0.2487955137684995,0.04115000247955322,3759102754816.0,60588000000.0,30242000000.0,30346000000.0,126012000000.0,160165000000.0,2385000000.0,281724000000.0,193893000000.0,101832000000.0,619003000000.0,275524000000.0,,,,,,0.189467112040708,52.835220125786165,0.6882374238616519,0.44728883588192697,0.3614601524896707,0.16450970350709124,,71611000000.0,136162000000.0,,1.1819337162474417,,1.3371238903291696,0.1493215623240672,0.1380936038005094,0.15539620586366523,,4.0,0.002606915193142489,16.969644129527122,3819690754816.0,0.24484911507923388
AMZN,Amazon.com Inc.,^GSPC,223.80999755859375,-0.019624144111844433,0.11281823285738124,0.0041726160059545325,0.25580740671992896,0.3371337315086542,1.376351328196514,-0.3087663843187606,9276532622.733126,0.3371337315086542,0.04115000247955322,2386911035392.0,130900000000.0,78779000000.0,52121000000.0,71020000000.0,123815000000.0,2406000000.0,637959000000.0,311671000000.0,59248000000.0,624894000000.0,338924000000.0,,,,,,0.4209586883657069,29.517871986699916,0.48854393464156787,0.1113237684553396,0.09287117197186653,0.09481288026449286,,32878000000.0,115877000000.0,,0.25116883116883115,49.017343485617594,1.9557959762354848,0.10990892246666145,0.7432926679594491,0.9473459326211997,,6.0,0.0038864174178195334,9.220054713438682,2517811035392.0,0.3196062821353091
GOOGL,Alphabet Inc. (Class A),^GSPC,199.32000732421875,0.04778432319211667,0.18391852513882623,0.08252675398170939,0.20168912724837718,0.30960835717839186,1.0534293992417083,-0.2980586991028076,7042967415.473672,0.30960835717839186,0.04115000247955322,2415299919872.0,25461000000.0,23466000000.0,1995000000.0,120083000000.0,135394000000.0,268000000.0,350018000000.0,203712000000.0,100118000000.0,450256000000.0,125172000000.0,,,,,,0.014734774066797643,448.07089552238807,0.5820043540617911,0.34307664177270886,0.28603671811164,0.22235794747876764,,72764000000.0,125299000000.0,,2.8578610423785396,,1.2515132144069998,0.13866243322901553,0.39590816623074687,0.3567043837658378,,7.0,0.0029159804782533665,14.874186850802698,2440760919872.0,0.30637865191806163
META,Meta Platforms Inc.,^GSPC,747.719970703125,0.047843202998470336,0.17749060051458931,0.07788995260525056,0.4175488178148632,0.3653910510907045,1.4202349687300246,-0.3415081130072274,8699418331.054688,0.3653910510907045,0.04115000247955322,1878377234432.0,49060000000.0,43889000000.0,5171000000.0,71378000000.0,86876000000.0,715000000.0,164501000000.0,134340000000.0,62360000000.0,276054000000.0,93417000000.0,,,,,,0.05952161701735807,99.82937062937063,0.8166515705071702,0.4339061768621467,0.3790858414234564,0.22589783158367566,,54072000000.0,91328000000.0,,1.102160619649409,187.91769547325103,1.4645285439384221,0.21941112807816043,0.4909554246563897,0.594966494449844,,6.0,0.00463134783130253,10.246416272988519,1927437234432.0,0.3560905744545392
NVDA,NVIDIA Corp.,^GSPC,175.39999389648438,0.02705231965224475,0.3308966203140078,0.2520755618784356,0.34965717927511464,0.521022204564901,2.024062602915031,-0.3688102584874191,28696760041.4295,0.521022204564901,0.04115000247955322,4277585051648.0,10270000000.0,8589000000.0,1681000000.0,84273000000.0,86137000000.0,247000000.0,130497000000.0,97858000000.0,72880000000.0,111601000000.0,32274000000.0,,,,,,0.019515423105053577,341.1862348178138,0.7498869705816992,0.6457849605738063,0.5584802715771244,0.6530407433625147,,60853000000.0,64089000000.0,,5.925316455696202,260.5243902439024,0.8793770581778265,1.1420340763599357,1.4731621423330887,1.4489247311827957,,6.0,0.006708635759416091,11.428772824570588,4287855051648.0,0.5197742850395372
TSLA,Tesla Inc.,^GSPC,323.8999938964844,-0.02604042496296799,-0.032036343844153325,-0.08606094956341526,0.4542923496822251,0.7127748144802569,2.4280361819519984,-0.537656801185852,32605865251.553493,0.7127748144802569,0.04115000247955322,1044723204096.0,13623000000.0,16139000000.0,-2516000000.0,9340000000.0,14708000000.0,350000000.0,97690000000.0,17450000000.0,7130000000.0,122070000000.0,48390000000.0,,,,,,-0.17106336687517,26.685714285714287,0.17862626676220697,0.09560855768246494,0.07298597604667827,0.05840910952732039,,3581000000.0,14923000000.0,,0.26286427365484843,53.87364620938628,2.0929873772791026,0.009475783534663594,-0.07789515253233291,-0.5246349756650444,,3.0,0.031210051737835556,5.893017017097957,1058346204096.0,0.7035999988480144
JPM,JPMorgan Chase & Co.,^GSPC,292.239990234375,-0.015231228543292619,0.1249152447599764,0.10740874458011396,0.3868761823728015,0.2747948531589978,1.0335708125230807,-0.24423926032764975,2350169423.2091026,0.2747948531589978,0.04115000247955322,803586899968.0,454311000000.0,469317000000.0,-15006000000.0,,,101350000000.0,169439000000.0,,58471000000.0,4002814000000.0,3658056000000.0,,,,,,,,,,0.34508584210246757,0.014607473642292647,,-42012000000.0,-42012000000.0,,-0.09247409813982052,-0.42162943337146985,-0.7185100306134665,0.09349346894522174,,0.17999273490474652,,4.0,0.0029245989740533224,5.947981936650982,1257897899968.0,0.17554806648680976
JNJ,Johnson & Johnson,^GSPC,178.83999633789062,0.05759899398473478,0.17752434978983223,0.12959156933556293,0.15684360253473084,0.19167420334715524,0.05567804933074996,-0.1444625759102669,1349212637.325638,0.19167420334715524,0.04115000247955322,430707507200.0,36634000000.0,24105000000.0,12529000000.0,17442000000.0,24781000000.0,755000000.0,88821000000.0,61350000000.0,14066000000.0,180104000000.0,108614000000.0,,,,,,0.5055889592833219,23.101986754966887,0.6907150336069173,0.19637247948120376,0.1583634500850024,0.07809932039266201,,18059000000.0,24266000000.0,,0.49295736201343016,12.193969849246232,1.7251528508460117,0.04300191406662831,0.10155361879499811,-0.5998634540437516,,4.0,0.003132549618409897,14.557838697550228,467341507200.0,0.17664923197773932
V,Visa Inc.,^GSPC,343.92999267578125,-0.03027063008198283,-0.0384169965045672,-0.015357418007886703,0.2997534136711999,0.22486354776759032,0.768562145044089,-0.15009236594864572,2276567653.1892805,0.22486354776759032,0.04115000247955322,667547467776.0,20836000000.0,11975000000.0,8861000000.0,24557000000.0,25591000000.0,641000000.0,35926000000.0,28884000000.0,19743000000.0,94511000000.0,55374000000.0,,,,,,0.3462545426126373,38.31045241809672,0.803985971162946,0.6835439514557702,0.5495462895952792,0.2088963189470009,,18693000000.0,19950000000.0,,0.8971491649068919,34.21955403087478,1.0104847287646255,0.10023581294214927,0.13265070799317374,0.14299774214091357,,7.0,0.0034103457253367906,16.11979087366487,688383467776.0,0.2180573748994033
